,author,author_id
410,Homer,2508115560618025833
411,Homer,2508115560618025833
412,Homer,2508115560618025833
413,Homer,2508115560618025833
414,Homer,2508115560618025833
415,Virgil,-2582519773190107429
416,Virgil,-2582519773190107429
417,Ed Roberson,2145468512082398707
418,Virgil,-2582519773190107429
419,Paul  Kirk,7920948906266137288
420,William Shakespeare,5120503262022660432
421,William Shakespeare,5120503262022660432
422,William Shakespeare,5120503262022660432
423,Reduced Shakespeare Company,5831394243269545045
424,Paulo Coelho,-5268102271760942302
425,Paulo Coelho,-5268102271760942302
426,Paulo Coelho,-5268102271760942302
427,Paulo Coelho,-5268102271760942302
428,Paulo Coelho,-5268102271760942302
429,Paulo Coelho,-5268102271760942302
430,Paulo Coelho,-5268102271760942302
431,William Shakespeare,5120503262022660432
432,Carla Lynn Stockton,-9075625627477405330
433,William Shakespeare,5120503262022660432
434,Giorgio De Santillana,3581255525801629070
435,Thucydides,1900519528696532204
436,Thucydides,1900519528696532204
437,Thucydides,1900519528696532204
438,Thucydides,1900519528696532204
439,Thucydides,1900519528696532204
440,Thucydides,1900519528696532204
441,Cynthia W. Shelmerdine,-3858294886671781366
442,Euripides,-8929879907348859008
443,Euripides,-8929879907348859008
444,Euripides,-8929879907348859008
445,Anne Carson,1948515183742848421
446,Euripides,-8929879907348859008
447,Euripides,-8929879907348859008
448,Euripides,-8929879907348859008
449,Euripides,-8929879907348859008
450,Euripides,-8929879907348859008
451,Euripides,-8929879907348859008
452,Euripides,-8929879907348859008
453,Euripides,-8929879907348859008
454,Euripides,-8929879907348859008
455,Euripides,-8929879907348859008
456,Wole Soyinka,-4732117675173040091
457,Euripides,-8929879907348859008
458,Euripides,-8929879907348859008
459,Euripides,-8929879907348859008
460,Euripides,-8929879907348859008
461,Euripides,-8929879907348859008
462,William Allan,-4250408091048219217
463,Robert J. Milch,3884253774125813771
464,Euripides,-8929879907348859008
465,Euripides,-8929879907348859008
466,Euripides,-8929879907348859008
467,Euripides,-8929879907348859008
468,Aeschylus,-6460264399217238827
469,Aeschylus,-6460264399217238827
470,Aeschylus,-6460264399217238827
471,Aeschylus,-6460264399217238827
472,Aeschylus,-6460264399217238827
473,Aeschylus,-6460264399217238827
474,Aeschylus,-6460264399217238827
475,Aeschylus,-6460264399217238827
476,Aeschylus,-6460264399217238827
477,Simon Goldhill,-2792082447353272044
478,Aeschylus,-6460264399217238827
479,Aeschylus,-6460264399217238827
480,Aeschylus,-6460264399217238827
481,Aeschylus,-6460264399217238827
482,Sophocles,-2119505085092608038
483,Sophocles,-2119505085092608038
484,Sophocles,-2119505085092608038
485,Sophocles,-2119505085092608038
486,Sophocles,-2119505085092608038
487,Sophocles,-2119505085092608038
488,Sophocles,-2119505085092608038
489,Sophocles,-2119505085092608038
490,Sophocles,-2119505085092608038
491,Sophocles,-2119505085092608038
492,Sophocles,-2119505085092608038
493,Sophocles,-2119505085092608038
494,Sophocles,-2119505085092608038
495,Aristophanes,-7217568278616247386
496,Aristophanes,-7217568278616247386
497,Aristophanes,-7217568278616247386
498,Aristophanes,-7217568278616247386
499,Aristophanes,-7217568278616247386
500,Aristophanes,-7217568278616247386
501,Aristophanes,-7217568278616247386
502,Aristophanes,-7217568278616247386
503,Aristophanes,-7217568278616247386
504,Aristophanes,-7217568278616247386
505,Aristophanes,-7217568278616247386
506,Aristophanes,-7217568278616247386
507,W. John Campbell,-1373393248800372937
508,Douglas M. MacDowell,7201842057830358545
509,Aristophanes,-7217568278616247386
510,Aristophanes,-7217568278616247386
511,Aristophanes,-7217568278616247386
512,Aristophanes,-7217568278616247386
513,Andrea Wilson Nightingale,-7758990202552558286
514,Mark Haddon,-7029226355348176449
515,George Pelecanos,-1198289832835180113
516,William Shakespeare,5120503262022660432
517,Annie Proulx,-7939791540401732504
518,David    Allen,-5776381843388271355
519,Geoffrey M. Bellman,6332436403104639243
520,Ricardo Piglia,-4322518115330175922
521,Ricardo Piglia,-4322518115330175922
522,Ricardo Piglia,-4322518115330175922
523,Ricardo Piglia,-4322518115330175922
524,Ricardo Piglia,-4322518115330175922
525,Karen  O'Connor,5675791961945937012
526,Karen  O'Connor,5675791961945937012
527,Ernesto Sabato,4336123602774210163
528,Augustine of Hippo,-8997641383356178343
529,Augustine of Hippo,-8997641383356178343
530,Augustine of Hippo,-8997641383356178343
531,Peter R.L. Brown,6307241904879673503
532,Augustine of Hippo,-8997641383356178343
533,Augustine of Hippo,-8997641383356178343
534,Garry Wills,1801502711962652060
535,Henry Chadwick,8912836489651190126
536,Augustine of Hippo,-8997641383356178343
