author;author_id
Oscar Wilde;26639559,00
Richard Ellmann;59007191,00
Ravi Zacharias;45986987,00
Don Rosa;65659276,00
Marvin Kaye;21514682,00
Jean Shepherd;54189145,00
Tim Dowley;67703298,00
Jane Werner Watson;9061233,00
Jane Parker Resnick;46922981,00
Robin Waterfield;17017470,00
Diana Gabaldon;37112564,00
Kathleen Winsor;22378374,00
Paula Danziger;18786775,00
Dugald A. Steer;89427640,00
Kaza Kingsley;72387519,00
James A. Hetley;51333277,00
Christopher Stasheff;9000357,00
Patricia Thomas;91037799,00
Roland H. Bainton;20952966,00
Edward W. Said;20679642,00
Jhumpa Lahiri;79407008,00
David L. Holmes;70379645,00
Ann Brashares;19550327,00
George Orwell;67404406,00
David Nasaw;74800239,00
Naguib Mahfouz;43072192,00
Ruud van der Rol;64070669,00
Miep Gies;62968954,00
Frances Goodrich;51454050,00
Johanna Hurwitz;16661292,00
Rosetta James;1904177,00
Robert Penn Warren;60249473,00
L. David Allen;88179334,00
Ian King;83948140,00
Richard P. Feynman;51211467,00
Steve Wozniak;12967649,00
William McDonough;86202207,00
James Patterson;8790843,00
Michael B. Oren;66874646,00
Bernard Williams;57279355,00
Jean Nienkamp;40127055,00
Jahan Ramazani;51969086,00
Gillian Avery;19774562,00
Kenneth Grahame;16942500,00
Richard M. Weaver;27886512,00
Harvey Mansfield;88517296,00
Anton Chekhov;98677983,00
Maria Skobtsova;59632440,00
Tom Clancy;92410969,00
Le Ly Hayslip;49161239,00
Craig Scharlin;82818804,00
Anne Moody;87837502,00
Christopher Fowler;29376764,00
Steven Pinker;31717387,00
Lavigne;57742053,00
Samuel J. Leffler;27770475,00
Stuart Woods;35789384,00
James C. Mitchell;98956469,00
Jorge Luis Borges;42475081,00
William Makepeace Thackeray;8376541,00
Alan Moore;74237865,00
V.C. Andrews;77762350,00
Steve Moore;34478749,00
Steven Weisenburger;22021799,00
Anthony Hern;57899279,00
Chris          Jones;14504704,00
Carlos Marighella;18678235,00
Christopher   Duncan;65552481,00
V.S. Naipaul;18515097,00
Shiva Naipaul;75148222,00
Bruce Alvin King;99814178,00
Richard Slotkin;792644,00
Julie E. Czerneda;67859095,00
Pat Barker;33012250,00
Mary Doria Russell;71401035,00
Rob Kidd;80781775,00
Wilkie Collins;13659884,00
National Commission on Terrorist Attacks Upon The United States;71597625,00
Harry Graham;61198831,00
Pablo Neruda;4763135,00
Michael Ondaatje;7234392,00
Stacy Horn;8188635,00
Hermann Hesse;75205065,00
Wilbur Smith;71662450,00
Chris Chester;46225012,00
Ben Mikaelsen;65093315,00
Janette Oke;13999996,00
Fran Leeper Buss;41371719,00
Karen Hesse;24871388,00
Li Bai;10054891,00
Wang Wei;96971089,00
Charles Rembar;72637865,00
Monica Furlong;77536721,00
Judy Tam Sargent;74302394,00
Erich Maria Remarque;4173631,00
Jonathan Shay;47506155,00
Jacques Derrida;72593415,00
Diana Cooper;35582962,00
John Julius Norwich;20984966,00
Frances J. Roberts;54663007,00
Kay Arthur;67241512,00
Bill Potter;51314520,00
Jean Houston;71723587,00
Sherman Alexie;39466629,00
Cormac McCarthy;10526507,00
Rose Tremain;73991990,00
Primo Levi;17729829,00
Ian Thomson;4886906,00
Emily Brontë;40047519,00
J.M. Coetzee;53646404,00
Sigrid Undset;8192982,00
David Malouf;25539956,00
Sébastien Japrisot;99448190,00
Sebastian Faulks;49894702,00
Wilfred Owen;94289078,00
Friedrich A. Hayek;8749612,00
R.A. Salvatore;60843770,00
Jamie Jensen;58772263,00
Diana Wynne Jones;88906344,00
Allen Ginsberg;71383519,00
Truddi Chase;7359819,00
Hayao Miyazaki;64993514,00
America's Test Kitchen;64235099,00
Roald Dahl;19463281,00
Richard R. George;911648,00
Kazuo Ishiguro;58061224,00
Eva Brann;3140947,00
Michael Vitez;6596296,00
Dixie Cash;85038769,00
Sylvia Browne;75473317,00
David Foster Wallace;21430414,00
Walter Scott;19575874,00
Marianna Mayer;72476046,00
Elizabeth L. Fuller;68247163,00
Dave R. Palmer;81772498,00
George Washington;54214357,00
Peter A. Lillback;77465660,00
Elizabeth Wurtzel;72430782,00
James Mangold;62145759,00
James N. Frey;95312550,00
Patricia Cornwell;3300389,00
